A0001,Anya Taylor-Joy,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,D,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,1,47
A0001,Anya Taylor-Joy,Jun-25,KBEN1033N,Oral Communication,A+,,UEIS,A0001@uow.edu.my,4,96
A0001,Anya Taylor-Joy,Jun-25,XBCS1043N,Computing Mathematics,N,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,
A0001,Anya Taylor-Joy,Jun-25,XBCS1143N,Application Development,N,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,
A0001,Anya Taylor-Joy,Jun-25,XBCS1183N,Database Management & Security,N,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,
A0001,Anya Taylor-Joy,Jun-25,MPU3333N,Integrity and Anti Corruption,B,,UEIS,A0001@uow.edu.my,3,66
A0001,Anya Taylor-Joy,Jun-25,MPU3323N,Malaysia and Global Issues,D,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,1,48
A0001,Anya Taylor-Joy,Jun-25,XBCS1123N,Statistics,N,To Take (n : registered for Next semester),UEIS,A0001@uow.edu.my,,
A0001,Anya Taylor-Joy,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,D,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,1,46
A0001,Anya Taylor-Joy,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,D,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,1,46
A0001,Anya Taylor-Joy,Jun-25,KBRM3014N,Research Methodology,D,Exempted without Credit Transfer,UEIS,A0001@uow.edu.my,1,48
A0002,Austin Butler,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,49
A0002,Austin Butler,Jun-25,KBEN1033N,Oral Communication,N,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,
A0002,Austin Butler,Jun-25,XBCS1043N,Computing Mathematics,N,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,
A0002,Austin Butler,Jun-25,XBCS1143N,Application Development,N,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,
A0002,Austin Butler,Jun-25,XBCS1183N,Database Management & Security,N,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,
A0002,Austin Butler,Jun-25,MPU3333N,Integrity and Anti Corruption,N,To Take (n : registered for Next semester),UEIS,A0002@uow.edu.my,,
A0002,Austin Butler,Jun-25,MPU3323N,Malaysia and Global Issues,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,49
A0002,Austin Butler,Jun-25,MPU3213,Bahasa Kebangsaan A,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,47
A0002,Austin Butler,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,47
A0002,Austin Butler,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,45
A0002,Austin Butler,Jun-25,KBRM3014N,Research Methodology,D,Exempted without Credit Transfer,UEIS,A0002@uow.edu.my,1,47
A0003,Gerard Butler,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,49
A0003,Gerard Butler,Jun-25,KBEN1033N,Oral Communication,N,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,
A0003,Gerard Butler,Jun-25,XBCS1043N,Computing Mathematics,N,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,
A0003,Gerard Butler,Jun-25,XBCS1143N,Application Development,N,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,
A0003,Gerard Butler,Jun-25,XBCS1183N,Database Management & Security,N,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,
A0003,Gerard Butler,Jun-25,MPU3333N,Integrity and Anti Corruption,N,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,
A0003,Gerard Butler,Jun-25,MPU3323N,Malaysia and Global Issues,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,47
A0003,Gerard Butler,Jun-25,MPU3213,Bahasa Kebangsaan A,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,46
A0003,Gerard Butler,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,46
A0003,Gerard Butler,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,47
A0003,Gerard Butler,Jun-25,KBRM3014N,Research Methodology,D,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,1,48
A0004,Beyoncé,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,D,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,1,49
A0004,Beyoncé,Jun-25,KBEN1033N,Oral Communication,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,11
A0004,Beyoncé,Jun-25,XBCS1043N,Computing Mathematics,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,41
A0004,Beyoncé,Jun-25,XBCS1143N,Application Development,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,29
A0004,Beyoncé,Jun-25,XBCS1183N,Database Management & Security,CT,Credit Transferred,UEIS,A0004@uow.edu.my,,
A0004,Beyoncé,Jun-25,MPU3333N,Integrity and Anti Corruption,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,15
A0004,Beyoncé,Jun-25,MPU3323N,Malaysia and Global Issues,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,27
A0004,Beyoncé,Jun-25,XBCS1123N,Statistics,F,Retaking this semester,UEIS,A0004@uow.edu.my,0,41
A0004,Beyoncé,Jun-25,XBCS2103N,Fundamentals of Object Oriented Programming,CT,Credit Transferred,UEIS,A0004@uow.edu.my,,
A0004,Beyoncé,Jun-25,XBCS2013N,Principles of Software Engineering,CT,Credit Transferred,UEIS,A0004@uow.edu.my,,
A0004,Beyoncé,Jun-25,XBCS2193N,HCI & User Experience,CT,Credit Transferred,UEIS,A0004@uow.edu.my,,
A0004,Beyoncé,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,D,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,1,48
A0004,Beyoncé,Jun-25,KBRM3014N,Research Methodology,D,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,1,47
A0005,Billie Eilish,Apr-25,MPU3183N,Penghayatan Etika dan Peradaban,D,Exempted without Credit Transfer,UEIS,A0005@uow.edu.my,1,48
A0005,Billie Eilish,Apr-25,KBEN1033N,Oral Communication,F,Retaking this semester,UEIS,A0005@uow.edu.my,0,23
A0005,Billie Eilish,Apr-25,XBCS1043N,Computing Mathematics,F,Retaking this semester,UEIS,A0005@uow.edu.my,0,12
A0005,Billie Eilish,Apr-25,XBCS1143N,Application Development,F,Retaking this semester,UEIS,A0005@uow.edu.my,0,15
A0005,Billie Eilish,Apr-25,XBCS1183N,Database Management & Security,F,Retaking this semester,UEIS,A0005@uow.edu.my,0,38
